Name,Rating,Rating Count,Price Category,Address,ZipCode
The Firehouse Family Restaurant & Bar,4.6,549,1,"42 Plauderville Ave, Garfield, NJ 07026",7026
H Restaurant & SS Restaurant,,,,"510 S River St, Hackensack, NJ 07601",7601
Joe's Restaurant,4.6,812,2,"6611 Forest Ave, Ridgewood, NY 11385",11385
Mompou Tapas Bar & Restaurant,4.4,1136,2,"77 Ferry St, Newark, NJ 07105",7105
Rasoi,3.9,1904,2,"810 Newark Ave, Jersey City, NJ 07306",7306
Restaurant Oyola,4.2,438,2,"470 Roseville Ave, Newark, NJ 07107",7107
Mexican Cantina Restaurant & Bar,4.5,257,2,"1736 Victory Blvd, Staten Island, NY 10314",10314
Sublime Restaurant,4.7,14,,"16-A NJ-5, Palisades Park, NJ 07650",7650
Golden Krust Caribbean Restaurant,3.7,82,1,"1014a Nostrand Ave, Brooklyn, NY 11225",11225
Bravo Restaurant,4.4,61,2,"1000 Bergenline Ave, Union City, NJ 07087",7087
Elia Mediterranean Restaurant,4.3,1587,3,"240 Hackensack St, East Rutherford, NJ 07073",7073
EcuAmerica Restaurant,3.8,124,,"4 Kearny Ave, Kearny, NJ 07032",7032
POLONICA RESTAURANT,4.5,227,2,"8303 3rd Ave, Brooklyn, NY 11209",11209
Serafina Italian Restaurant Tribeca,4.3,1057,2,"95 W Broadway, New York, NY 10007",10007
Krakus Restaurant,4.4,262,1,"208 Main Ave #1442, Wallington, NJ 07057",7057
Rico Rico Restaurant,4.1,290,1,"7708 Bergenline Ave, North Bergen, NJ 07047",7047
Golden Krust Caribbean Restaurant,3.3,162,1,"1655 Pitkin Ave, Brooklyn, NY 11207",11207
El Nuevo Jaya Restaurant,4.3,188,1,"79 Audubon Ave, New York, NY 10032",10032
უბანი,4.7,518,2,"Georgian Cuisine, 8309 3rd Ave, Brooklyn, NY 11209",11209
Ukrainian East Village Restaurant,4.4,694,2,"140 2nd Ave, New York, NY 10003",10003
Colonie,4.6,872,3,"127 Atlantic Ave, Brooklyn, NY 11201",11201
Nuria's Restaurant,4.1,512,1,"13816 Jamaica Ave, Queens, NY 11435",11435
Oceana,4.5,1232,4,"120 W 49th St, New York, NY 10020",10020
Junior's Restaurant & Bakery,4.4,11444,2,"386 Flatbush Ave Ext, Brooklyn, NY 11201",11201
Restaurant Relax,4.8,166,1,"68A Newel St, Brooklyn, NY 11222",11222
Gyro king Restaurant,3.2,132,,"838 Main St, Paterson, NJ 07503",7503
Breniz restaurant,3.9,53,,"7816 New Utrecht Ave, Brooklyn, NY 11214",11214
Family c restaurant,4.5,101,,"85 Kearny Ave, Kearny, NJ 07032",7032
Junction Seafood Restaurant / Fast & Fresh Comida Típica,4.5,97,2,"34-64 Junction Blvd, Queens, NY 11372",11372
El Patron Restaurant & Lounge,3.6,684,1,"520 Bay St, Staten Island, NY 10304",10304
Andy's Restaurant,4,127,,"2262 3rd Ave, Bronx, NY 10035",10035
La Guayaca Restaurant,4.4,651,2,"74 Monroe St, Newark, NJ 07105",7105
Restaurant El Rinconcito De Doña Maria,3.8,273,1,"255 Kearny Ave, Kearny, NJ 07032",7032
New Dyker Restaurant,4.3,208,2,"8505 18th Ave, Brooklyn, NY 11214",11214
Benares,4.2,1841,2,"45 Murray St, New York, NY 10007",10007
Puerto Plata Restaurant,4.2,162,2,"3123 Fulton St, Brooklyn, NY 11208",11208
Mister Gusto Restaurant,4.1,44,,"903 Bergen Ave, Jersey City, NJ 07306",7306
El Pio Pio,3.9,405,1,"449 Central Ave, Jersey City, NJ 07307",7307
Villard,4,93,4,"455 Madison Avenue at, E 50th St, New York, NY 10022",10022
Restaurant Pearl,4.3,13,2,"33 Peck Slip, New York, NY 10038",10038
Lasagna Restaurant,4.2,795,2,"196 8th Ave Corner, W 20th St of, New York, NY 10011",10011
El Jardin Restaurant,4.1,388,2,"769 Main Ave, Passaic, NJ 07055",7055
Panini Grill,4.6,1301,2,"538 Forest Ave, Staten Island, NY 10310",10310
La Bottiglia Italian Restaurant,4.7,110,2,"293 Port Richmond Ave, Staten Island, NY 10302",10302
Rocky's Restaurant,4.2,296,,"294 Kearny Ave, Kearny, NJ 07032",7032
La Loteria Restaurant,4.4,59,1,"49 Parker Ave, Passaic, NJ 07055",7055
Mundo Latino Restaurant & Bakery,4.7,29,1,"169 Anderson Ave, Fairview, NJ 07022",7022
Priory Restaurant,4.5,184,,"233 W Market St, Newark, NJ 07103",7103
Pastai Restaurant,4.2,425,2,"186 9th Ave, New York, NY 10011",10011
Bareli's Restaurant and Bar,4.6,561,3,"219 NJ-3, Secaucus, NJ 07094",7094
Angie's Deli & Restaurant,4.3,234,1,"125 Market St, Passaic, NJ 07055",7055
Salinas Restaurant,4.6,1132,3,"136 9th Ave, New York, NY 10011",10011
Immanuel Restaurant INC,4.2,65,1,"799 Stanley Ave, Brooklyn, NY 11207",11207
CZEN Restaurant,4.5,860,2,"4410 Avenue H, Brooklyn, NY 11234",11234
Gotham Restaurant,4.5,1334,4,"12 E 12th St, New York, NY 10003",10003
Ruyi,3.6,55,1,"5221 Fort Hamilton Pkwy, Brooklyn, NY 11219",11219
BV Tuscany Restaurant,4.7,271,2,"368 Cedar Ln, Teaneck, NJ 07666",7666
Venus Bar and Restaurant,4.4,1545,2,"68 Central Ave, Passaic, NJ 07055",7055
Joe & Pat's Pizzeria & Restaurant,4.4,1180,2,"1758 Victory Blvd, Staten Island, NY 10314",10314
Lokanta Turkish Restaurant,4.9,75,2,"8312 5th Ave, Brooklyn, NY 11209",11209
Lancer's Restaurant,4.2,653,2,"459 Ferry St, Newark, NJ 07105",7105
Alfaro's Restaurant,4,120,,"149 Anderson Ave, Fairview, NJ 07022",7022
Spanish Sangria,4.5,447,2,"157 Magazine St, Newark, NJ 07105",7105
Thalassa Restaurant,4.5,428,3,"179 Franklin St, New York, NY 10013",10013
DIG,4.3,547,1,"80 Pine St, New York, NY 10005",10005
Beijing Restaurant,3.7,49,2,"196 Boulevard, Hasbrouck Heights, NJ 07604",7604
ჩიზბოუთი,4.3,893,2,"80 Berry St, Brooklyn, NY 11249",11249
Vu,4,266,3,"2 Exchange Pl, Jersey City, NJ 07302",7302
Chicos Pizza and Restaurant,4.7,18,1,"161 Front St, Secaucus, NJ 07094",7094
El Tololoche mexican restaurant,4.3,415,2,"7201 16th Ave, Brooklyn, NY 11204",11204
Guantanamera,4.4,2690,2,"939 8th Ave, New York, NY 10019",10019
taïm mediterranean kitchen,4.3,313,1,"75 Maiden Ln, New York, NY 10038",10038
Dynasty Chinese Restaurant - Brooklyn,4.1,232,1,"1669 Flatbush Ave, Brooklyn, NY 11210",11210
Beirut Restaurant,4.2,1456,2,"1543 Main Ave, Clifton, NJ 07011",7011
La Casona SalvyCub Restaurant,4.6,174,,"414 38th St, Union City, NJ 07087",7087
Cafe Milano Pizzeria and Restaurant,4.2,358,2,"401 Forest Ave, Staten Island, NY 10310",10310
O'Hara's Restaurant and Pub,4.6,4660,2,"120 Cedar St, New York, NY 10006",10006
Chez Moi,4.5,603,2,"135 Atlantic Ave, Brooklyn, NY 11201",11201
Ivy Inn Restaurant & Bar,4.2,450,,"268 Terrace Ave, Hasbrouck Heights, NJ 07604",7604
The Soul Spot,4.2,1084,2,"302 Atlantic Ave, Brooklyn, NY 11201",11201
No.5 restaurant 五号食堂,4,10,1,"968 58th St, Brooklyn, NY 11219",11219
Al Raouche Restaurant,4.3,453,1,"169 Crooks Ave, Paterson, NJ 07503",7503
Tulcingo Restaurant,3.7,479,2,"5520 5th Ave, Brooklyn, NY 11220",11220
Viva Mexico Restaurant,4.6,166,2,"1474 86th St, Brooklyn, NY 11228",11228
Kan Zamaan Restaurant,4.3,458,2,"247 Buffalo Ave, Paterson, NJ 07503",7503
Radhuni Sweets & Restaurant,3.9,524,1,"483 McDonald Ave, Brooklyn, NY 11218",11218
Buttonwood Restaurant and Bar,,,,"120 Water St, New York, NY 10005",10005
ilili Restaurant,4.5,3411,3,"236 5th Ave, New York, NY 10001",10001
The Franklin Bar & Restaurant,4.6,162,2,"780 5th St, Secaucus, NJ 07094",7094
Quisqueya Restaurant,4.1,110,2,"214 Bright St, Jersey City, NJ 07302",7302
Schilling Restaurant & Bar,4.4,498,3,"109 Washington St, New York, NY 10006",10006
Golden Krust Caribbean Restaurant,4.1,217,1,"568 Flatbush Ave, Brooklyn, NY 11225",11225
Sabores Latinos Restaurant,4.3,18,,"2201 Summit Ave, Union City, NJ 07087",7087
Maria's Restaurant,4.6,68,,"24 Market St, Passaic, NJ 07055",7055
Bayonne BBQ & Wings,4.1,57,2,"523 John F. Kennedy Blvd, Bayonne, NJ 07002",7002
Lily House Chinese Restaurant,4.1,120,2,"420 Kearny Ave, Kearny, NJ 07032",7032
La Kausa Restaurant,4.5,620,2,"7815 Bergenline Ave Suite 2, North Bergen, NJ 07047",7047
Estelita,4.2,174,,"7007 Bergenline Ave, North Bergen, NJ 07047",7047
Nicole's Caribbean Restaurant,3.9,200,2,"521 Jersey Ave, Jersey City, NJ 07302",7302
DIG,4.1,168,1,"225 Liberty St, New York, NY 10281",10281
George's,4.3,2889,2,"89 Greenwich St, New York, NY 10006",10006
Subway,3.5,92,1,"1724 Victory Blvd, Staten Island, NY 10314",10314
Paisano's,4.4,1046,2,"132 Park Ave, Rutherford, NJ 07070",7070
Bogota Chinese Restaurant,4.1,64,,"10 River Rd, Bogota, NJ 07603",7603
Al-Basha Quick Serve,4.3,3694,2,"1076 Main St, Paterson, NJ 07503",7503
Take Away & Cafe,4.6,140,1,"7006 3rd Ave, Brooklyn, NY 11209",11209
Chito Gvrito,4.7,469,2,"173 3rd Ave, New York, NY 10003",10003
Bamboo Walk Caribbean Restaurant,4.3,1257,2,"1343 Utica Ave, Brooklyn, NY 11203",11203
Max Restaurant,4.3,267,2,"134 W Broadway, New York, NY 10013",10013
Don Lalo,4.1,134,,"879 Main Ave, Passaic, NJ 07055",7055
El Patron,4.6,187,1,"1710 John F. Kennedy Blvd, Jersey City, NJ 07305",7305
Hop Kee Restaurant,4.2,1200,2,"21 Mott St, New York, NY 10013",10013
The Cuban,4.3,1410,2,"333 Washington St, Hoboken, NJ 07030",7030
Crown Shy,4.5,1183,3,"70 Pine Street Ground Floor, New York, NY 10005",10005
Nuevo Three Way Restaurant,4,774,1,"384 E 188th St, Bronx, NY 10458",10458
Golden Krust Caribbean Restaurant,2.8,82,1,"1430 Rockaway Pkwy, Brooklyn, NY 11236",11236
Jingdu Chinese Restaurant,3.9,104,1,"850 Kearny Ave STE B, Kearny, NJ 07032",7032
Fort Hamilton Diner,4.1,293,1,"9502 4th Ave, Brooklyn, NY 11209",11209
"BUNSIKNARA | Korean restaurant Palisades Park, NJ",4.1,582,1,"254 Broad Ave, Palisades Park, NJ 07650",7650
TAZON LATINO DELI RESTAURANT,4.1,44,,"144 Hudson St, Hackensack, NJ 07601",7601
El Ranchito Poblano Restaurant,3.3,225,2,"1306 Flatbush Ave, Brooklyn, NY 11210",11210
