Name,Rating,Rating Count,Price Category,Address,ZipCode
Bayonne BBQ & Wings,4.1,57,2,"523 John F. Kennedy Blvd, Bayonne, NJ 07002",7002
Luciano's San Vito Restaurant,4.5,537,2,"406 Broadway, Bayonne, NJ 07002",7002
QDOBA Mexican Eats,4,534,1,"905 Bayonne Crossing Way, Bayonne, NJ 07002",7002
The Little Food Cafe,4.4,654,1,"330 John F. Kennedy Blvd, Bayonne, NJ 07002",7002
Lighthouse Family Restaurant and Diner,4.4,1158,2,"669 Broadway, Bayonne, NJ 07002",7002
Taco Bell,3.4,677,1,"21-33 E 53rd St, Bayonne, NJ 07002",7002
Five Guys,4.3,631,2,"301 Bayonne Crossing Way, Bayonne, NJ 07002",7002
"Chris' Pizza & Family Restaurant (Rutherford, NJ)",4.2,213,2,"200 Park Ave, Rutherford, NJ 07070",7070
Golden House Restaurant,4.3,105,,"334 Union Ave A, Rutherford, NJ 07070",7070
Finch's Restaurant + Lounge,4.3,71,,"801 Rutherford Ave, Rutherford, NJ 07070",7070
Gelone,4.6,593,2,"650 Ridge Rd, Lyndhurst, NJ 07071",7071
Teros Restaurant,4.3,338,2,"224 Ridge Rd, Lyndhurst, NJ 07071",7071
The Original Mr. Bruno's Pizzeria & Restaurant,4.1,657,2,"439 Valley Brook Ave, Lyndhurst, NJ 07071",7071
AJ Shanghai Restaurant,4.3,194,1,"775 Riverside Ave, Lyndhurst, NJ 07071",7071
Hunkar Restaurant,4.7,685,2,"319 Hackensack St, Carlstadt, NJ 07072",7072
Elia Mediterranean Restaurant,4.3,1587,3,"240 Hackensack St, East Rutherford, NJ 07073",7073
Ho Ho Restaurant,4.6,242,2,"235 Paterson Ave, East Rutherford, NJ 07073",7073
Dominick's Restaurant & Bar - Al Di La Caterers,4.3,506,2,"1 Hoboken Rd, East Rutherford, NJ 07073",7073
Chef Chan Restaurant,4.4,206,1,"238 Paterson Ave, East Rutherford, NJ 07073",7073
Segovia Restaurant,4.5,2173,2,"150 Moonachie Rd, Moonachie, NJ 07074",7074
Hi-So Thai,4,299,2,"1903 Willow Ave A, Weehawken, NJ 07086",7086
Ñaños593 Restaurant & Grill,4.1,224,2,"4114 Park Ave, Weehawken, NJ 07086",7086
Bravo Restaurant,4.4,61,2,"1000 Bergenline Ave, Union City, NJ 07087",7087
La Casona SalvyCub Restaurant,4.6,174,,"414 38th St, Union City, NJ 07087",7087
