Name,Rating,Rating Count,Price Category,Address,ZipCode
Bayonne BBQ & Wings,4.1,57,2,"523 John F. Kennedy Blvd, Bayonne, NJ 07002",7002
Luciano's San Vito Restaurant,4.5,537,2,"406 Broadway, Bayonne, NJ 07002",7002
Golden House Restaurant,4.3,105,,"334 Union Ave A, Rutherford, NJ 07070",7070
Finch's Restaurant + Lounge,4.3,71,,"801 Rutherford Ave, Rutherford, NJ 07070",7070
Gelone,4.6,593,2,"650 Ridge Rd, Lyndhurst, NJ 07071",7071
Teros Restaurant,4.3,338,2,"224 Ridge Rd, Lyndhurst, NJ 07071",7071
The Original Mr. Bruno's Pizzeria & Restaurant,4.1,657,2,"439 Valley Brook Ave, Lyndhurst, NJ 07071",7071
AJ Shanghai Restaurant,4.3,194,1,"775 Riverside Ave, Lyndhurst, NJ 07071",7071
Hunkar Restaurant,4.7,685,2,"319 Hackensack St, Carlstadt, NJ 07072",7072
Elia Mediterranean Restaurant,4.3,1587,3,"240 Hackensack St, East Rutherford, NJ 07073",7073
Ho Ho Restaurant,4.6,242,2,"235 Paterson Ave, East Rutherford, NJ 07073",7073
Dominick's Restaurant & Bar - Al Di La Caterers,4.3,506,2,"1 Hoboken Rd, East Rutherford, NJ 07073",7073
Chef Chan Restaurant,4.4,206,1,"238 Paterson Ave, East Rutherford, NJ 07073",7073
Segovia Restaurant,4.5,2173,2,"150 Moonachie Rd, Moonachie, NJ 07074",7074
Hi-So Thai,4,299,2,"1903 Willow Ave A, Weehawken, NJ 07086",7086
Ñaños593 Restaurant & Grill,4.1,224,2,"4114 Park Ave, Weehawken, NJ 07086",7086
Bravo Restaurant,4.4,61,2,"1000 Bergenline Ave, Union City, NJ 07087",7087
El Jocoreño Deli Restaurant,4.4,225,1,"6024 Hudson Ave, West New York, NJ 07093",7093
Extra Super Restaurant,4.2,211,2,"5525 Palisade Ave, West New York, NJ 07093",7093
Lotus Thai Cuisine,4.2,423,2,"7007 Park Ave, Guttenberg, NJ 07093",7093
Pio Pio 58 - Pio Pio Café & Restaurant 5800 Hudson,4.3,332,2,"5800 Hudson Ave, West New York, NJ 07093",7093
Lahore Restaurant and Catering,4.5,1616,2,"1277 Paterson Plank Rd, Secaucus, NJ 07094",7094
Chili's Grill & Bar,3.9,1952,2,"700 Plaza Dr, Secaucus, NJ 07094",7094
La Reggia,4.5,363,2,"40 Wood Ave, Secaucus, NJ 07094",7094
